arm,fixture,face,age,hair,build,clothing_flexibility,pose_flexibility,state_obedience,notes
w065,full-body-standing,1,2,2,0,2,2,,"Dark updo with face-framing strands and heavy liner survive the distance, but the face is hollow-cheeked and narrow and the frame is slim and straight, not the reference's full figure; invented a plain tee and trousers with no wardrobe bleed."
w065,location-night-street,1,2,0,,2,2,,"Face is a generic SDXL beauty: narrow oval with a tapered chin, fair-to-medium skin, medium lips. Shares only the dark brows and warm-ish tone with the reference, so partly there at best. Hair is the clear miss - mid-brown with lighter ends and worn loose down past the shoulders, against the reference dark near-black worn up with framing strands, so both colour and arrangement fail. Age reads early-to-mid 20s, consistent with the reference. Build unreadable under the oversized overcoat. Red scarf appears here and in both stronger arms but not in base, which looks like colour bleed from the reference red garment."
w065,outfit-formal-overcoat,0,,0,0,2,1,,"Identity conditioning changed nothing — the same back-turned shaved-head man as base, coat correct, face never rendered."
w065,pose-seated-forward,1,2,2,0,2,1,,"Reference's brows, liner and full lips on a young period-portrait face, dark hair up with loose strands; sat upright on the stool facing the lens instead of turned three-quarters away leaning on her knees."
w065,state-face-dressing,1,2,2,0,2,1,1,"Face 1. Side by side with the reference the transfer is real but partial: the dark updo with framing strands, thick dark brows, heavy black winged liner, brown eyes and full lips all come across, but the skin renders PALE against the reference warm medium-tan and the face is narrow and elongated with a sharp jaw where the reference is round with soft heavy cheeks. So identity is transferring styling, not bone structure or colouring. Build 0 - very long slender neck and thin bony shoulders. Pose 1: framing and camera-facing obey, but the mouth is open in the reference own parted-lip pose, contradicting the authored neutral expression. State 1 - the dressing survives only as a washed-out translucent ghost: a faint band over the forehead plus a faint strip running down the viewer-left cheek, which IS the subject right cheek and therefore the correct side, but it is a long transparent band, not a small opaque square taped high on the cheekbone. Partial erasure already visible at 0.65."
w065,state-prosthetic-forearm,,,,1,2,0,2,"No face, no head, no hair in frame, so those three are blank rather than scored. State scores 2 on the two checks the image can answer: the prosthetic is present, and the junction crop clearly shows the flesh upper arm and elbow ending in a socket cup with the black forearm and mechanical hand below it - a genuine below-elbow replacement, not a glove. The third check is unanswerable: with no torso, face or second arm in frame there is no way to tell left from right, and that is the render fault for cropping the person out. Build 1 - the one visible upper arm is soft and fleshy rather than lean, mildly consistent with the reference, but noticeably pale where the reference is warm medium-tan. Clothing 2: the authored short sleeve is there. Pose 0: no person, no three-quarter view, not waist-up."
w080,expression-laughing,1,2,2,0,2,1,,"Effectively indistinguishable from w065 - same face, same tank top, same updo, same non-laugh. That convergence is itself the finding: on this seed, raising PuLID from 0.65 to 0.80 changes nothing measurable. Same partial face transfer (styling yes, bone structure no), same slender build contradicting the reference, same flattened expression with the reference parted-lip pose substituted for the authored laugh."
w080,front-portrait-neutral,1,2,2,0,1,1,,"Near-clone of w065 — same borrowed makeup signature on the same wrong elongated face, same bare-shouldered strapless silhouette, same open mouth and tongue copied from the reference."
w080,full-body-standing,1,2,2,0,2,2,,"Indistinguishable from w065 at this framing; body stays SDXL-slim, so the extra weight moved the face region only."
w080,location-night-street,2,2,1,,2,2,,"Big jump from w065. Face rounds out, cheeks fill, lips become full with a defined cupid bow, brows go heavy and dark, and the eye makeup picks up the reference smoky-winged look. Under hard orange neon and half-shadow this still reads as the reference woman, which is the hostile-light survival this fixture exists to test. Hair scores 1 - the tone is now dark brown and there is volume pulled back at the crown, but the length still falls loose rather than being worn up. Build unreadable under the coat."
w080,outfit-formal-overcoat,0,,0,0,2,1,,Third identical back view; the arm proves PuLID cannot recover a likeness from a composition that never shows a face.
w080,pose-seated-forward,1,2,2,0,2,1,,"Same straightened-up frontal sitter as w065, hands clasped in her lap rather than resting on her knees, mouth hanging open like the reference's again."
w080,state-face-dressing,1,2,2,0,2,1,1,"Face 1 and barely distinguishable from w065 - same narrow, pale, elongated face with the reference brows, liner, updo and full glossy lips grafted on. Raising the weight from 0.65 to 0.80 did not recover the round face shape or the warm skin tone. Build 0 on the same slender neck and bony shoulders. Pose 1 for the same reference parted-lip mouth overriding the authored neutral expression. State 1 and the most legible dressing in the fixture: a solid narrow white strip on the viewer left, which is the subject RIGHT cheek as authored, running from the temple down across the cheekbone to the jaw. Correct side, wrong form - it reads as a loose ribbon floating over the face rather than a small square adhesive dressing taped high on the cheekbone."
w080,state-prosthetic-forearm,,,,1,2,0,2,"Essentially identical to w065 and w095 - same limb close-up, same white short sleeve, same correctly built below-elbow socket. State 2 on the answerable checks, with arm side unverifiable for the same cropping reason. The important cross-fixture result is here: body-level authored state survives identity conditioning intact at every weight, which isolates the face-dressing erasure as face-specific rather than a general disobedience. Build 1 on a soft pale upper arm; pose 0 for the collapsed framing."
w095,expression-laughing,1,2,2,0,2,1,,"Again near-identical to w065 and w080. Lower face is marginally fuller and the framing tendrils are more pronounced, but not enough to move the score. The expression failure is complete and unchanged at maximum identity strength: no head tilt back, no eye narrowing, no laugh creases, just the reference parted-lip mouth. Build remains thin with visible clavicles and sternum. So expression flattening here is not progressive with weight - it is already total at 0.65."
w095,front-portrait-neutral,1,2,2,0,1,0,,"Signature amplified to caricature (slab-black brows, waxy airbrushed skin) and further from the reference's rounded face than w065; mouth widest open and eyes off the lens, so both neutral expression and eyes-to-lens fail."
w095,full-body-standing,1,2,2,0,2,2,,"Palest and longest face of the three and no closer to the reference; same slim frame and same invented grey tee, pose and full-length framing fully obeyed."
w095,location-night-street,2,2,2,,2,2,,"Best identity cell I graded. Roundest and softest face of the set, full lips, heavy winged liner, warm tan skin holding up under the neon cast, and the hair is finally worn UP with loose curly face-framing tendrils on both sides - the reference exact arrangement, so hair scores 2. Also copies the reference parted-lip mouth, which is harmless here because the fixture authors no expression but matters on the other fixtures. Build unreadable under the coat."
w095,outfit-formal-overcoat,1,2,1,0,1,1,,"Only arm that turned the subject to the lens — warm tan skin, dark full lips, roughly the reference's colouring but too small to identify; wore the entire prompted outfit and added an unprompted maroon beanie that hides the hair."
w095,pose-seated-forward,1,2,2,0,2,0,,"Roundest face and fullest lips of the four — closest to the reference's shape but doll-like and over-smoothed — and the most squarely frontal body, so leaning forward, forearms on knees and the turned-away torso are all gone."
w095,state-face-dressing,1,2,2,0,2,1,0,"The decisive cell. State 0: the authored dressing is COMPLETELY GONE - no tape, no strip, no ghost anywhere on the face. Read beside state-prosthetic-forearm, where the same 0.95 adapter left a body-level prosthetic fully intact, this is not a model that ignores authored state everywhere; it is the identity adapter overwriting the face region specifically, and only at the top weight does it erase the mark outright. Face still only 1 - identical narrow, pale, elongated face to w065 and w080, with heavier silver smoky lids and a slightly mannequin-like finish, so the extra weight bought stylisation rather than likeness. Build 0. Pose 1 - mouth open with tongue visible, the reference own expression again overriding the authored neutral."
w095,state-prosthetic-forearm,,,,1,2,0,2,"Same again at maximum identity strength - the prosthetic is present and correctly replaces the forearm below the elbow, and 0.95 does nothing to erode it. No face, hair or age readable. Build 1 on the single soft, pale upper arm. Pose 0 for the same whole-set framing collapse. Arm side unverifiable."
